Instruction,Output
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:We have documented the successful display of InGaAs-based terahertz quantum cascade lasers operating at their maximum temperature of 149 K in our report.		",149 K
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Through state-of-the-art techniques, we have produced a terahertz quantum-cascade laser that works at 230 K in pulsed mode and 150 K in continuous wave mode at approximately 4 THz.",4 THz
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At the lasing frequency of 6.7 THz, 100 mW of peak optical power was measured at 3 K, and approximately 2 mW could still be detected at 190 K.",6.7 THz
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Testing with a thermopile detector (Manufacturer D, model MP100) near the cryostat revealed a peak continuous wave power of 1.1 mW emitted from a single facet and collected through a Winston cone with a circular aperture size of 1.00 mm diameter.",1.1 Mw
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Until a heat-sink temperature of 186 K, the functionality of resonant-phonon terahertz quantum-cascade lasers has been demonstrated.		",186 K
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:We show that the optimal 2.9-mm-long device operating at 3.11 THz has a low threshold current density of 270 A/cm2 at 15 K.		",3.11 THz
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The study compared the performance of the lasers at different temperatures and found optimal results at 333 K in pulsed mode and at 88 K in continuous-wave mode.","333 K, 88 K"
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Operating at 8 K in continuous mode, the threshold current density is 900 A/cm2, and the peak power is approximately 3.5 mW.",3.5 Mw
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text: In our experiment, the heat-sink temperature of the resonant-phonon terahertz quantum-cascade laser peaked at 112.5 K. ",resonant-phonon
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A 3.1 THz quantum cascade laser (QCL) using a scattering-assisted injection and resonant-phonon depopulation model is shown to have high efficiency.",resonant-phonon
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The laser was able to produce an optical power of 100mW at 225K with a threshold current density of 2000 A/cm2 from a 400-mm-wide and 4-mm-long laser in cw operation.",100 Mw
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A scattering-assisted injection and resonant-phonon depopulation design scheme was successfully implemented in the demonstration of a 2.1 THz quantum cascade laser (QCL).		",2.1 THz
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At B = 17 T, where the cyclotron transition is almost resonant with the LO-phonon, we recorded a maximum operating temperature of 188K for the devices with Cu waveguide.",LO-phonon
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Researchers have successfully demonstrated GaAs/AlGaAs quantum cascade lasers based on three quantum wells that can operate at high frequencies up to 6.8 THz.",6.8 THz
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The structure, labeled QTU657-M1 (growth HY3452), was grown in GaN/Al0.2In0.8N.",GaN/Al0.2In0.8N
